Grid size (x, y)
22,22
id,type,station,x,y,weight_to_NORTH,weight_to_WEST,weight_to_SOUTH,weight_to_EAST,weight_for_WAIT
0,Induct,1001,0,0,1,inf,inf,1,1
1,Travel,None,0,1,1,inf,1,1,1
2,Travel,None,0,2,1,inf,1,1,1
3,Travel,None,0,3,1,inf,1,1,1
4,Travel,None,0,4,1,inf,1,1,1
5,Travel,None,0,5,1,inf,1,1,1
6,Travel,None,0,6,1,inf,1,1,1
7,Travel,None,0,7,1,inf,1,1,1
8,Travel,None,0,8,1,inf,1,1,1
9,Travel,None,0,9,1,inf,1,1,1
10,Travel,None,0,10,1,inf,1,1,1
11,Travel,None,0,11,1,inf,1,1,1
12,Travel,None,0,12,1,inf,1,1,1
13,Travel,None,0,13,1,inf,1,1,1
14,Travel,None,0,14,1,inf,1,1,1
15,Travel,None,0,15,1,inf,1,1,1
16,Travel,None,0,16,1,inf,1,1,1
17,Travel,None,0,17,1,inf,1,1,1
18,Travel,None,0,18,1,inf,1,1,1
19,Travel,None,0,19,1,inf,1,1,1
20,Travel,None,0,20,1,inf,1,1,1
21,Induct,1002,0,21,inf,inf,1,1,1
22,Induct,1003,1,0,1,1,inf,inf,1
23,Travel,None,1,1,1,1,1,inf,1
24,Travel,None,1,2,1,1,1,1,1
25,Travel,None,1,3,1,1,1,1,1
26,Eject,10001,1,4,1,1,1,inf,1
27,Eject,10001,1,5,1,1,1,inf,1
28,Travel,None,1,6,1,1,1,1,1
29,Travel,None,1,7,1,1,1,1,1
30,Eject,10002,1,8,1,1,1,inf,1
31,Eject,10002,1,9,1,1,1,inf,1
32,Travel,None,1,10,1,1,1,1,1
33,Travel,None,1,11,1,1,1,1,1
34,Eject,10003,1,12,1,1,1,inf,1
35,Eject,10003,1,13,1,1,1,inf,1
36,Travel,None,1,14,1,1,1,1,1
37,Travel,None,1,15,1,1,1,1,1
38,Eject,10004,1,16,1,1,1,inf,1
39,Eject,10004,1,17,1,1,1,inf,1
40,Travel,None,1,18,1,1,1,1,1
41,Travel,None,1,19,1,1,1,1,1
42,Travel,None,1,20,1,1,1,inf,1
43,Induct,1004,1,21,inf,1,1,inf,1
44,Obstacle,None,2,0,inf,inf,inf,inf,inf
45,Obstacle,None,2,1,inf,inf,inf,inf,inf
46,Travel,None,2,2,1,1,inf,1,1
47,Eject,10001,2,3,inf,1,1,1,1
48,Obstacle,None,2,4,inf,inf,inf,inf,inf
49,Obstacle,None,2,5,inf,inf,inf,inf,inf
50,Eject,10001,2,6,1,1,inf,1,1
51,Eject,10002,2,7,inf,1,1,1,1
52,Obstacle,None,2,8,inf,inf,inf,inf,inf
53,Obstacle,None,2,9,inf,inf,inf,inf,inf
54,Eject,10002,2,10,1,1,inf,1,1
55,Eject,10003,2,11,inf,1,1,1,1
56,Obstacle,None,2,12,inf,inf,inf,inf,inf
57,Obstacle,None,2,13,inf,inf,inf,inf,inf
58,Eject,10003,2,14,1,1,inf,1,1
59,Eject,10004,2,15,inf,1,1,1,1
60,Obstacle,None,2,16,inf,inf,inf,inf,inf
61,Obstacle,None,2,17,inf,inf,inf,inf,inf
62,Eject,10004,2,18,1,1,inf,1,1
63,Travel,None,2,19,inf,1,1,1,1
64,Obstacle,None,2,20,inf,inf,inf,inf,inf
65,Obstacle,None,2,21,inf,inf,inf,inf,inf
66,Obstacle,None,3,0,inf,inf,inf,inf,inf
67,Obstacle,None,3,1,inf,inf,inf,inf,inf
68,Travel,None,3,2,1,1,inf,1,1
69,Eject,10001,3,3,inf,1,1,1,1
70,Obstacle,None,3,4,inf,inf,inf,inf,inf
71,Obstacle,None,3,5,inf,inf,inf,inf,inf
72,Eject,10001,3,6,1,1,inf,1,1
73,Eject,10002,3,7,inf,1,1,1,1
74,Obstacle,None,3,8,inf,inf,inf,inf,inf
75,Obstacle,None,3,9,inf,inf,inf,inf,inf
76,Eject,10002,3,10,1,1,inf,1,1
77,Eject,10003,3,11,inf,1,1,1,1
78,Obstacle,None,3,12,inf,inf,inf,inf,inf
79,Obstacle,None,3,13,inf,inf,inf,inf,inf
80,Eject,10003,3,14,1,1,inf,1,1
81,Eject,10004,3,15,inf,1,1,1,1
82,Obstacle,None,3,16,inf,inf,inf,inf,inf
83,Obstacle,None,3,17,inf,inf,inf,inf,inf
84,Eject,10004,3,18,1,1,inf,1,1
85,Travel,None,3,19,inf,1,1,1,1
86,Obstacle,None,3,20,inf,inf,inf,inf,inf
87,Obstacle,None,3,21,inf,inf,inf,inf,inf
88,Induct,1005,4,0,1,inf,inf,1,1
89,Travel,None,4,1,1,inf,1,1,1
90,Travel,None,4,2,1,1,1,1,1
91,Travel,None,4,3,1,1,1,1,1
92,Eject,10001,4,4,1,inf,1,1,1
93,Eject,10001,4,5,1,inf,1,1,1
94,Travel,None,4,6,1,1,1,1,1
95,Travel,None,4,7,1,1,1,1,1
96,Eject,10002,4,8,1,inf,1,1,1
97,Eject,10002,4,9,1,inf,1,1,1
98,Travel,None,4,10,1,1,1,1,1
99,Travel,None,4,11,1,1,1,1,1
100,Eject,10003,4,12,1,inf,1,1,1
101,Eject,10003,4,13,1,inf,1,1,1
102,Travel,None,4,14,1,1,1,1,1
103,Travel,None,4,15,1,1,1,1,1
104,Eject,10004,4,16,1,inf,1,1,1
105,Eject,10004,4,17,1,inf,1,1,1
106,Travel,None,4,18,1,1,1,1,1
107,Travel,None,4,19,1,1,1,1,1
108,Travel,None,4,20,1,inf,1,1,1
109,Induct,1006,4,21,inf,inf,1,1,1
110,Induct,1007,5,0,1,1,inf,inf,1
111,Travel,None,5,1,1,1,1,inf,1
112,Travel,None,5,2,1,1,1,1,1
113,Travel,None,5,3,1,1,1,1,1
114,Eject,10005,5,4,1,1,1,inf,1
115,Eject,10005,5,5,1,1,1,inf,1
116,Travel,None,5,6,1,1,1,1,1
117,Travel,None,5,7,1,1,1,1,1
118,Eject,10006,5,8,1,1,1,inf,1
119,Eject,10006,5,9,1,1,1,inf,1
120,Travel,None,5,10,1,1,1,1,1
121,Travel,None,5,11,1,1,1,1,1
122,Eject,10007,5,12,1,1,1,inf,1
123,Eject,10007,5,13,1,1,1,inf,1
124,Travel,None,5,14,1,1,1,1,1
125,Travel,None,5,15,1,1,1,1,1
126,Eject,10008,5,16,1,1,1,inf,1
127,Eject,10008,5,17,1,1,1,inf,1
128,Travel,None,5,18,1,1,1,1,1
129,Travel,None,5,19,1,1,1,1,1
130,Travel,None,5,20,1,1,1,inf,1
131,Induct,1008,5,21,inf,1,1,inf,1
132,Obstacle,None,6,0,inf,inf,inf,inf,inf
133,Obstacle,None,6,1,inf,inf,inf,inf,inf
134,Travel,None,6,2,1,1,inf,1,1
135,Eject,10005,6,3,inf,1,1,1,1
136,Obstacle,None,6,4,inf,inf,inf,inf,inf
137,Obstacle,None,6,5,inf,inf,inf,inf,inf
138,Eject,10005,6,6,1,1,inf,1,1
139,Eject,10006,6,7,inf,1,1,1,1
140,Obstacle,None,6,8,inf,inf,inf,inf,inf
141,Obstacle,None,6,9,inf,inf,inf,inf,inf
142,Eject,10006,6,10,1,1,inf,1,1
143,Eject,10007,6,11,inf,1,1,1,1
144,Obstacle,None,6,12,inf,inf,inf,inf,inf
145,Obstacle,None,6,13,inf,inf,inf,inf,inf
146,Eject,10007,6,14,1,1,inf,1,1
147,Eject,10008,6,15,inf,1,1,1,1
148,Obstacle,None,6,16,inf,inf,inf,inf,inf
149,Obstacle,None,6,17,inf,inf,inf,inf,inf
150,Eject,10008,6,18,1,1,inf,1,1
151,Travel,None,6,19,inf,1,1,1,1
152,Obstacle,None,6,20,inf,inf,inf,inf,inf
153,Obstacle,None,6,21,inf,inf,inf,inf,inf
154,Obstacle,None,7,0,inf,inf,inf,inf,inf
155,Obstacle,None,7,1,inf,inf,inf,inf,inf
156,Travel,None,7,2,1,1,inf,1,1
157,Eject,10005,7,3,inf,1,1,1,1
158,Obstacle,None,7,4,inf,inf,inf,inf,inf
159,Obstacle,None,7,5,inf,inf,inf,inf,inf
160,Eject,10005,7,6,1,1,inf,1,1
161,Eject,10006,7,7,inf,1,1,1,1
162,Obstacle,None,7,8,inf,inf,inf,inf,inf
163,Obstacle,None,7,9,inf,inf,inf,inf,inf
164,Eject,10006,7,10,1,1,inf,1,1
165,Eject,10007,7,11,inf,1,1,1,1
166,Obstacle,None,7,12,inf,inf,inf,inf,inf
167,Obstacle,None,7,13,inf,inf,inf,inf,inf
168,Eject,10007,7,14,1,1,inf,1,1
169,Eject,10008,7,15,inf,1,1,1,1
170,Obstacle,None,7,16,inf,inf,inf,inf,inf
171,Obstacle,None,7,17,inf,inf,inf,inf,inf
172,Eject,10008,7,18,1,1,inf,1,1
173,Travel,None,7,19,inf,1,1,1,1
174,Obstacle,None,7,20,inf,inf,inf,inf,inf
175,Obstacle,None,7,21,inf,inf,inf,inf,inf
176,Induct,1009,8,0,1,inf,inf,1,1
177,Travel,None,8,1,1,inf,1,1,1
178,Travel,None,8,2,1,1,1,1,1
179,Travel,None,8,3,1,1,1,1,1
180,Eject,10005,8,4,1,inf,1,1,1
181,Eject,10005,8,5,1,inf,1,1,1
182,Travel,None,8,6,1,1,1,1,1
183,Travel,None,8,7,1,1,1,1,1
184,Eject,10006,8,8,1,inf,1,1,1
185,Eject,10006,8,9,1,inf,1,1,1
186,Travel,None,8,10,1,1,1,1,1
187,Travel,None,8,11,1,1,1,1,1
188,Eject,10007,8,12,1,inf,1,1,1
189,Eject,10007,8,13,1,inf,1,1,1
190,Travel,None,8,14,1,1,1,1,1
191,Travel,None,8,15,1,1,1,1,1
192,Eject,10008,8,16,1,inf,1,1,1
193,Eject,10008,8,17,1,inf,1,1,1
194,Travel,None,8,18,1,1,1,1,1
195,Travel,None,8,19,1,1,1,1,1
196,Travel,None,8,20,1,inf,1,1,1
197,Induct,1010,8,21,inf,inf,1,1,1
198,Induct,1011,9,0,1,1,inf,inf,1
199,Travel,None,9,1,1,1,1,inf,1
200,Travel,None,9,2,1,1,1,1,1
201,Travel,None,9,3,1,1,1,1,1
202,Eject,10009,9,4,1,1,1,inf,1
203,Eject,10009,9,5,1,1,1,inf,1
204,Travel,None,9,6,1,1,1,1,1
205,Travel,None,9,7,1,1,1,1,1
206,Eject,10010,9,8,1,1,1,inf,1
207,Eject,10010,9,9,1,1,1,inf,1
208,Travel,None,9,10,1,1,1,1,1
209,Travel,None,9,11,1,1,1,1,1
210,Eject,10011,9,12,1,1,1,inf,1
211,Eject,10011,9,13,1,1,1,inf,1
212,Travel,None,9,14,1,1,1,1,1
213,Travel,None,9,15,1,1,1,1,1
214,Eject,10012,9,16,1,1,1,inf,1
215,Eject,10012,9,17,1,1,1,inf,1
216,Travel,None,9,18,1,1,1,1,1
217,Travel,None,9,19,1,1,1,1,1
218,Travel,None,9,20,1,1,1,inf,1
219,Induct,1012,9,21,inf,1,1,inf,1
220,Obstacle,None,10,0,inf,inf,inf,inf,inf
221,Obstacle,None,10,1,inf,inf,inf,inf,inf
222,Travel,None,10,2,1,1,inf,1,1
223,Eject,10009,10,3,inf,1,1,1,1
224,Obstacle,None,10,4,inf,inf,inf,inf,inf
