Grid size (x, y)
70,38
id,type,station,x,y,weight_to_NORTH,weight_to_WEST,weight_to_SOUTH,weight_to_EAST,weight_for_WAIT
0,Induct,1001,0,0,1,inf,inf,1,1
1,Travel,None,0,1,1,inf,1,1,1
2,Travel,None,0,2,1,inf,1,1,1
3,Travel,None,0,3,1,inf,1,1,1
4,Travel,None,0,4,1,inf,1,1,1
5,Travel,None,0,5,1,inf,1,1,1
6,Travel,None,0,6,1,inf,1,1,1
7,Travel,None,0,7,1,inf,1,1,1
8,Travel,None,0,8,1,inf,1,1,1
9,Travel,None,0,9,1,inf,1,1,1
10,Travel,None,0,10,1,inf,1,1,1
11,Travel,None,0,11,1,inf,1,1,1
12,Travel,None,0,12,1,inf,1,1,1
13,Travel,None,0,13,1,inf,1,1,1
14,Travel,None,0,14,1,inf,1,1,1
15,Travel,None,0,15,1,inf,1,1,1
16,Travel,None,0,16,1,inf,1,1,1
17,Travel,None,0,17,1,inf,1,1,1
18,Travel,None,0,18,1,inf,1,1,1
19,Travel,None,0,19,1,inf,1,1,1
20,Travel,None,0,20,1,inf,1,1,1
21,Travel,None,0,21,1,inf,1,1,1
22,Travel,None,0,22,1,inf,1,1,1
23,Travel,None,0,23,1,inf,1,1,1
24,Travel,None,0,24,1,inf,1,1,1
25,Travel,None,0,25,1,inf,1,1,1
26,Travel,None,0,26,1,inf,1,1,1
27,Travel,None,0,27,1,inf,1,1,1
28,Travel,None,0,28,1,inf,1,1,1
29,Travel,None,0,29,1,inf,1,1,1
30,Travel,None,0,30,1,inf,1,1,1
31,Travel,None,0,31,1,inf,1,1,1
32,Travel,None,0,32,1,inf,1,1,1
33,Travel,None,0,33,1,inf,1,1,1
34,Travel,None,0,34,1,inf,1,1,1
35,Travel,None,0,35,1,inf,1,1,1
36,Travel,None,0,36,1,inf,1,1,1
37,Induct,1002,0,37,inf,inf,1,1,1
38,Induct,1003,1,0,1,1,inf,inf,1
39,Travel,None,1,1,1,1,1,inf,1
40,Travel,None,1,2,1,1,1,1,1
41,Travel,None,1,3,1,1,1,1,1
42,Eject,10001,1,4,1,1,1,inf,1
43,Eject,10001,1,5,1,1,1,inf,1
44,Travel,None,1,6,1,1,1,1,1
45,Travel,None,1,7,1,1,1,1,1
46,Eject,10002,1,8,1,1,1,inf,1
47,Eject,10002,1,9,1,1,1,inf,1
48,Travel,None,1,10,1,1,1,1,1
49,Travel,None,1,11,1,1,1,1,1
50,Eject,10003,1,12,1,1,1,inf,1
51,Eject,10003,1,13,1,1,1,inf,1
52,Travel,None,1,14,1,1,1,1,1
53,Travel,None,1,15,1,1,1,1,1
54,Eject,10004,1,16,1,1,1,inf,1
55,Eject,10004,1,17,1,1,1,inf,1
56,Travel,None,1,18,1,1,1,1,1
57,Travel,None,1,19,1,1,1,1,1
58,Eject,10005,1,20,1,1,1,inf,1
59,Eject,10005,1,21,1,1,1,inf,1
60,Travel,None,1,22,1,1,1,1,1
61,Travel,None,1,23,1,1,1,1,1
62,Eject,10006,1,24,1,1,1,inf,1
63,Eject,10006,1,25,1,1,1,inf,1
64,Travel,None,1,26,1,1,1,1,1
65,Travel,None,1,27,1,1,1,1,1
66,Eject,10007,1,28,1,1,1,inf,1
67,Eject,10007,1,29,1,1,1,inf,1
68,Travel,None,1,30,1,1,1,1,1
69,Travel,None,1,31,1,1,1,1,1
70,Eject,10008,1,32,1,1,1,inf,1
71,Eject,10008,1,33,1,1,1,inf,1
72,Travel,None,1,34,1,1,1,1,1
73,Travel,None,1,35,1,1,1,1,1
74,Travel,None,1,36,1,1,1,inf,1
75,Induct,1004,1,37,inf,1,1,inf,1
76,Obstacle,None,2,0,inf,inf,inf,inf,inf
77,Obstacle,None,2,1,inf,inf,inf,inf,inf
78,Travel,None,2,2,1,1,inf,1,1
79,Eject,10001,2,3,inf,1,1,1,1
80,Obstacle,None,2,4,inf,inf,inf,inf,inf
81,Obstacle,None,2,5,inf,inf,inf,inf,inf
82,Eject,10001,2,6,1,1,inf,1,1
83,Eject,10002,2,7,inf,1,1,1,1
84,Obstacle,None,2,8,inf,inf,inf,inf,inf
85,Obstacle,None,2,9,inf,inf,inf,inf,inf
86,Eject,10002,2,10,1,1,inf,1,1
87,Eject,10003,2,11,inf,1,1,1,1
88,Obstacle,None,2,12,inf,inf,inf,inf,inf
89,Obstacle,None,2,13,inf,inf,inf,inf,inf
90,Eject,10003,2,14,1,1,inf,1,1
91,Eject,10004,2,15,inf,1,1,1,1
92,Obstacle,None,2,16,inf,inf,inf,inf,inf
93,Obstacle,None,2,17,inf,inf,inf,inf,inf
94,Eject,10004,2,18,1,1,inf,1,1
95,Eject,10005,2,19,inf,1,1,1,1
96,Obstacle,None,2,20,inf,inf,inf,inf,inf
97,Obstacle,None,2,21,inf,inf,inf,inf,inf
98,Eject,10005,2,22,1,1,inf,1,1
99,Eject,10006,2,23,inf,1,1,1,1
100,Obstacle,None,2,24,inf,inf,inf,inf,inf
101,Obstacle,None,2,25,inf,inf,inf,inf,inf
102,Eject,10006,2,26,1,1,inf,1,1
103,Eject,10007,2,27,inf,1,1,1,1
104,Obstacle,None,2,28,inf,inf,inf,inf,inf
105,Obstacle,None,2,29,inf,inf,inf,inf,inf
106,Eject,10007,2,30,1,1,inf,1,1
107,Eject,10008,2,31,inf,1,1,1,1
108,Obstacle,None,2,32,inf,inf,inf,inf,inf
109,Obstacle,None,2,33,inf,inf,inf,inf,inf
110,Eject,10008,2,34,1,1,inf,1,1
111,Travel,None,2,35,inf,1,1,1,1
112,Obstacle,None,2,36,inf,inf,inf,inf,inf
113,Obstacle,None,2,37,inf,inf,inf,inf,inf
114,Obstacle,None,3,0,inf,inf,inf,inf,inf
115,Obstacle,None,3,1,inf,inf,inf,inf,inf
116,Travel,None,3,2,1,1,inf,1,1
117,Eject,10001,3,3,inf,1,1,1,1
118,Obstacle,None,3,4,inf,inf,inf,inf,inf
119,Obstacle,None,3,5,inf,inf,inf,inf,inf
120,Eject,10001,3,6,1,1,inf,1,1
121,Eject,10002,3,7,inf,1,1,1,1
122,Obstacle,None,3,8,inf,inf,inf,inf,inf
123,Obstacle,None,3,9,inf,inf,inf,inf,inf
124,Eject,10002,3,10,1,1,inf,1,1
125,Eject,10003,3,11,inf,1,1,1,1
126,Obstacle,None,3,12,inf,inf,inf,inf,inf
127,Obstacle,None,3,13,inf,inf,inf,inf,inf
128,Eject,10003,3,14,1,1,inf,1,1
129,Eject,10004,3,15,inf,1,1,1,1
130,Obstacle,None,3,16,inf,inf,inf,inf,inf
131,Obstacle,None,3,17,inf,inf,inf,inf,inf
132,Eject,10004,3,18,1,1,inf,1,1
133,Eject,10005,3,19,inf,1,1,1,1
134,Obstacle,None,3,20,inf,inf,inf,inf,inf
135,Obstacle,None,3,21,inf,inf,inf,inf,inf
136,Eject,10005,3,22,1,1,inf,1,1
137,Eject,10006,3,23,inf,1,1,1,1
138,Obstacle,None,3,24,inf,inf,inf,inf,inf
139,Obstacle,None,3,25,inf,inf,inf,inf,inf
140,Eject,10006,3,26,1,1,inf,1,1
141,Eject,10007,3,27,inf,1,1,1,1
142,Obstacle,None,3,28,inf,inf,inf,inf,inf
143,Obstacle,None,3,29,inf,inf,inf,inf,inf
144,Eject,10007,3,30,1,1,inf,1,1
145,Eject,10008,3,31,inf,1,1,1,1
146,Obstacle,None,3,32,inf,inf,inf,inf,inf
147,Obstacle,None,3,33,inf,inf,inf,inf,inf
148,Eject,10008,3,34,1,1,inf,1,1
149,Travel,None,3,35,inf,1,1,1,1
150,Obstacle,None,3,36,inf,inf,inf,inf,inf
151,Obstacle,None,3,37,inf,inf,inf,inf,inf
152,Induct,1005,4,0,1,inf,inf,1,1
153,Travel,None,4,1,1,inf,1,1,1
154,Travel,None,4,2,1,1,1,1,1
155,Travel,None,4,3,1,1,1,1,1
156,Eject,10001,4,4,1,inf,1,1,1
157,Eject,10001,4,5,1,inf,1,1,1
158,Travel,None,4,6,1,1,1,1,1
159,Travel,None,4,7,1,1,1,1,1
160,Eject,10002,4,8,1,inf,1,1,1
161,Eject,10002,4,9,1,inf,1,1,1
162,Travel,None,4,10,1,1,1,1,1
163,Travel,None,4,11,1,1,1,1,1
164,Eject,10003,4,12,1,inf,1,1,1
165,Eject,10003,4,13,1,inf,1,1,1
166,Travel,None,4,14,1,1,1,1,1
167,Travel,None,4,15,1,1,1,1,1
168,Eject,10004,4,16,1,inf,1,1,1
169,Eject,10004,4,17,1,inf,1,1,1
170,Travel,None,4,18,1,1,1,1,1
171,Travel,None,4,19,1,1,1,1,1
172,Eject,10005,4,20,1,inf,1,1,1
173,Eject,10005,4,21,1,inf,1,1,1
174,Travel,None,4,22,1,1,1,1,1
175,Travel,None,4,23,1,1,1,1,1
176,Eject,10006,4,24,1,inf,1,1,1
177,Eject,10006,4,25,1,inf,1,1,1
178,Travel,None,4,26,1,1,1,1,1
179,Travel,None,4,27,1,1,1,1,1
180,Eject,10007,4,28,1,inf,1,1,1
181,Eject,10007,4,29,1,inf,1,1,1
182,Travel,None,4,30,1,1,1,1,1
183,Travel,None,4,31,1,1,1,1,1
184,Eject,10008,4,32,1,inf,1,1,1
185,Eject,10008,4,33,1,inf,1,1,1
186,Travel,None,4,34,1,1,1,1,1
187,Travel,None,4,35,1,1,1,1,1
188,Travel,None,4,36,1,inf,1,1,1
189,Induct,1006,4,37,inf,inf,1,1,1
190,Induct,1007,5,0,1,1,inf,inf,1
191,Travel,None,5,1,1,1,1,inf,1
192,Travel,None,5,2,1,1,1,1,1
193,Travel,None,5,3,1,1,1,1,1
194,Eject,10009,5,4,1,1,1,inf,1
195,Eject,10009,5,5,1,1,1,inf,1
196,Travel,None,5,6,1,1,1,1,1
197,Travel,None,5,7,1,1,1,1,1
198,Eject,10010,5,8,1,1,1,inf,1
199,Eject,10010,5,9,1,1,1,inf,1
200,Travel,None,5,10,1,1,1,1,1
201,Travel,None,5,11,1,1,1,1,1
202,Eject,10011,5,12,1,1,1,inf,1
203,Eject,10011,5,13,1,1,1,inf,1
204,Travel,None,5,14,1,1,1,1,1
205,Travel,None,5,15,1,1,1,1,1
206,Eject,10012,5,16,1,1,1,inf,1
207,Eject,10012,5,17,1,1,1,inf,1
208,Travel,None,5,18,1,1,1,1,1
209,Travel,None,5,19,1,1,1,1,1
210,Eject,10013,5,20,1,1,1,inf,1
211,Eject,10013,5,21,1,1,1,inf,1
212,Travel,None,5,22,1,1,1,1,1
213,Travel,None,5,23,1,1,1,1,1
214,Eject,10014,5,24,1,1,1,inf,1
215,Eject,10014,5,25,1,1,1,inf,1
216,Travel,None,5,26,1,1,1,1,1
217,Travel,None,5,27,1,1,1,1,1
218,Eject,10015,5,28,1,1,1,inf,1
219,Eject,10015,5,29,1,1,1,inf,1
220,Travel,None,5,30,1,1,1,1,1
221,Travel,None,5,31,1,1,1,1,1
222,Eject,10016,5,32,1,1,1,inf,1
223,Eject,10016,5,33,1,1,1,inf,1
224,Travel,None,5,34,1,1,1,1,1
225,Travel,None,5,35,1,1,1,1,1
226,Travel,None,5,36,1,1,1,inf,1
227,Induct,1008,5,37,inf,1,1,inf,1
